timestamp_s,read_mib_s
427.6443,3234.9
427.6696,3131.8
427.6948,3418.7
427.7210,2079.8
427.7462,2067.4
427.7715,3389.9
427.7967,3288.7
427.8220,3460.9
427.8472,3558.1
427.8724,3597.7
427.8976,3336.7
427.9228,3313.2
427.9481,3468.1
427.9733,3165.9
427.9985,3323.3
428.0237,3255.3
428.0489,3251.6
428.0741,3298.5
428.0993,529.1
428.1246,3237.9
428.1498,3555.8
428.1750,3339.6
428.2002,3606.2
428.2254,3482.7
428.2512,3567.5
428.2764,3074.4
428.3022,3497.5
428.3275,3443.2
428.3527,3299.4
428.3782,3313.0
428.4034,3647.0
428.4286,2841.6
428.4539,1927.6
428.4801,2122.7
428.5053,1973.7
428.5305,3434.6
428.5557,3440.2
428.5809,3641.7
428.6061,3422.4
428.6314,3606.3
428.6566,3424.9
428.6819,3292.5
428.7071,3622.8
428.7323,3380.7
428.7575,3592.0
428.7827,3408.7
428.8079,3312.7
428.8331,3516.9
428.8584,3517.1
428.8847,1427.5
428.9099,2614.3
428.9351,3565.5
428.9603,3341.0
428.9856,3678.3
429.0108,3506.7
429.0360,3681.6
429.0612,3421.7
429.0863,3662.4
429.1116,3374.0
429.1368,3343.7
429.1620,3241.6
429.1872,3594.5
429.2124,3247.7
429.2376,3539.1
429.2628,3426.9
429.2885,1130.5
429.3137,2866.8
429.3389,3458.4
429.3642,3346.5
429.3894,3441.7
429.4146,3697.3
429.4398,3129.0
429.4650,3377.3
429.4902,3535.8
429.5154,3317.5
429.5410,3446.2
429.5662,3531.3
429.5916,3280.9
429.6169,3453.5
429.6421,2525.9
429.6673,3245.9
429.6932,857.4
429.7185,3114.7
429.7437,3705.1
429.7689,3430.8
429.7942,3507.9
429.8194,3536.3
429.8446,3367.4
429.8698,3537.9
429.8950,3519.5
429.9203,3289.9
429.9455,3584.3
429.9707,3358.4
429.9959,3157.9
430.0211,3663.7
430.0464,3436.8
430.0725,3104.6
430.0977,649.6
430.1230,3662.9
430.1482,3429.6
430.1734,3666.4
430.1986,3254.6
430.2239,2801.7
430.2491,3131.8
430.2743,3300.7
430.2995,3160.1
430.3248,2844.6
430.3500,3283.4
430.3752,3327.7
430.4004,3073.6
430.4266,931.2
430.4520,3272.3
430.4772,3378.4
430.5027,3247.1
430.5279,3485.9
430.5531,3416.1
430.5783,3498.0
430.6035,3362.4
430.6287,3427.8
430.6539,3310.0
430.6792,3471.7
430.7044,3332.5
430.7296,3111.9
430.7548,3383.5
430.7800,478.1
430.8052,3162.0
430.8305,3348.8
430.8557,3450.0
430.8809,3484.0
430.9061,3565.5
430.9313,3402.5
430.9565,3725.7
430.9818,3171.6
431.0071,3586.7
431.0323,3428.6
431.0576,3553.9
431.0828,3284.8
431.1080,3396.5
431.1332,2577.9
431.1595,1898.9
431.1847,2135.0
431.2100,3491.3
431.2352,3447.6
431.2604,3131.3
431.2856,3361.4
431.3109,3489.3
431.3361,2657.4
431.3613,3181.0
431.3866,2917.6
431.4118,3189.1
431.4370,3277.4
431.4622,3584.7
431.4884,2663.0
431.5136,1211.7
431.5388,3435.5
431.5641,3100.2
431.5893,3398.2
431.6145,3425.8
431.6397,3234.9
431.6650,3561.0
431.6902,3257.1
431.7154,3408.0
431.7406,3025.2
431.7659,3244.1
431.7914,3177.3
431.8166,1403.8
431.8430,2341.3
431.8682,1351.4
431.8934,3067.5
431.9187,3691.0
431.9439,3467.9
431.9691,3373.4
431.9943,3363.6
432.0196,3346.5
432.0448,3491.8
432.0700,3398.6
432.0958,3171.7
432.1211,3079.2
432.1463,3203.0
432.1715,2308.8
432.1978,1378.2
432.2230,2356.6
432.2482,3482.5
432.2735,3364.7
432.2987,3358.2
432.3242,3429.8
432.3494,3241.8
432.3746,3241.2
432.3998,3147.0
432.4250,3028.2
432.4503,3436.3
432.4755,3356.3
432.5007,2697.3
432.5263,1627.4
432.5517,2354.5
432.5769,3452.6
432.6021,3229.2
432.6274,3413.0
432.6526,3431.9
432.6777,2700.8
432.7030,3270.1
432.7288,3346.2
432.7541,3297.0
432.7793,3371.8
432.8045,3215.7
432.8300,3511.8
432.8552,3569.1
432.8808,2850.1
432.9060,1185.4
432.9313,3448.8
432.9565,3728.7
432.9817,3260.8
433.0069,3348.0
433.0322,3680.0
433.0574,3123.8
433.0826,3241.9
433.1078,3592.3
